This file was created by CMPT_BEME_RETS using the 201603 CRSP database.,,,
It contains value- and equal-weighted returns for portfolios formed on BE/ME.,,,
,,,
,,,
The portfolios are constructede at the end of June.,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Lo 30,Med 40,Hi 30
197912,3.56,1.53,2.61
198001,5.24,6.52,8.04
198002,-2.75,1.53,-0.24
198003,-10.28,-11.32,-13.95
198004,4.03,5.72,6.07
198005,5.97,5.69,6.78
198006,3.41,3.55,2.76
198007,9.77,5.73,3.47
198008,2.9,1.81,2.07
198009,4.29,3.21,-0.65
198010,2.3,2.82,-0.25
198011,11.75,12.42,4.46
198012,-2.56,-4.4,-0.84
198101,-5.72,-4.72,1.74
198102,2.39,1.4,1.6
198103,4.25,4.1,5.65
198104,-1.61,-1.48,1.58
198105,1.35,-0.07,2.95
198106,-3.54,1.94,0.19
198107,0.8,-0.8,-1.15
198108,-7.22,-5.54,-2.85
198109,-6.83,-6.05,-1.97
198110,8.41,4.29,4.63
198111,3.7,5.05,4.23
198112,-3.04,-2.5,-2.32
198201,-2.22,-3.62,0.21
198202,-7.39,-3.32,-1.75
198203,-1.98,-0.52,1.87
198204,5.85,3.77,2.85
198205,-3.48,-2.29,-2.19
198206,-2.62,-1.23,-1.61
198207,-0.87,-3.75,-1.6
198208,10.62,12.66,12.68
198209,2.03,2.35,0.64
198210,13.2,11.45,9.94
198211,7.49,3.1,4.63
198212,1.16,1.15,1.51
198301,3.79,3.59,5.76
198302,3.75,2.94,2.84
198303,2.51,4.73,3.44
198304,6.04,8.87,7.19
198305,1.06,0.87,0.64
198306,5.34,3.78,1.01
198307,-5.3,-2.3,-0.81
198308,-1.88,0.4,4.51
198309,2.19,1.65,1.21
198310,-4.42,-1.38,-0.61
198311,3.09,2.7,2.23
198312,-1.04,-1.02,-0.55
198401,-5.16,0.47,3.38
198402,-5.07,-4.27,-1.82
198403,1.37,1.56,0.67
198404,0.22,0.21,1.48
198405,-4.97,-4.59,-5.71
198406,4.43,1.63,2.46
198407,-1.86,-1.97,-2.52
198408,11.67,11.04,11.3
198409,-2.46,-0.11,3.08
198410,0.2,0.69,-0.45
198411,-2.66,-1.14,0.87
198412,2.55,2.56,2.23
198501,10.99,8.38,5.96
198502,1.6,1.83,2.18
198503,-1.65,-0.68,2.09
198504,-1.89,-0.64,1.87
198505,5.66,6.68,5.04
198506,1.51,1.98,1.56
198507,0.59,-0.48,-1.2
198508,-1.61,-0.06,0.76
198509,-4.38,-2.93,-4.35
198510,3.88,5.14,5.28
198511,8.88,6.66,4.91
198512,5.65,3.7,4.3
198601,1,0.56,1.65
198602,7.91,8.1,6.87
198603,5.94,5.75,4.43
198604,0.79,-1.35,-2.93
198605,5.14,5.49,4.91
198606,1.57,1.13,2.52
198607,-7.66,-5.66,-2.94
198608,4.44,7.88,8.99
198609,-9.83,-7.07,-6.97
198610,5.43,5.04,5.14
198611,1.79,1.83,1.4
198612,-2.55,-2.96,-2.83
198701,13.72,12.97,10.82
198702,7.73,3.83,0.46
198703,1.63,2.32,2.68
198704,-1.94,-1.19,-1.7
198705,1.26,-0.16,0.7
198706,4.28,5.18,4.6
198707,5.16,3.47,3.93
198708,4.46,4.26,2.79
198709,-2,-2.19,-2.41
198710,-24.25,-21.14,-20.33
198711,-8.58,-7.41,-5.55
198712,9.18,6.45,4.85
198801,2.08,5.56,7.88
198802,5.73,4.96,3.83
198803,-2.38,-2.4,-0.74
198804,-0.42,2.07,1.65
198805,-0.33,0.35,1.83
198806,5.08,5.79,4.21
198807,-1.65,-0.28,0.24
198808,-3.01,-3,-1.37
198809,4.81,3.43,3.5
198810,1.82,1.72,2.68
198811,-1.9,-1.94,-0.67
198812,2.91,1.81,1.05
198901,6.79,6.36,6.82
198902,-2.05,-1.78,-1
198903,2.52,1.79,2.71
198904,5.88,4.73,4.01
198905,4.77,3.61,3.95
198906,-1.17,-0.4,0.33
198907,10.05,6.81,5.77
198908,1.25,2.84,2.61
198909,0.61,-0.72,-0.03
198910,-1.79,-4.13,-2.64
198911,2.21,1.54,0.92
198912,1.55,2.1,2.23
199001,-7.7,-6.5,-7.19
199002,0.63,2.24,2.51
199003,4.16,1.63,0.67
199004,-1.11,-3.45,-4.48
199005,10.59,8.38,7.13
199006,1.28,-2.14,-1.39
199007,-1.54,-0.41,-2.01
199008,-10.12,-8.35,-10.15
199009,-6.09,-4.15,-6.66
199010,-0.11,-2.26,-0.26
