This file was created by CMPT_ME_RETS using the 201603 CRSP database.  It contains,,,
value- and equal-weighted returns for size portfolios.  Each record contains returns for:,,,
,,,
The portfolios are constructed at the end of June.,,,
,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Small 30,Med 40,Big 30
197901,9.4,6.91,4.12
197902,-2.1,-2.71,-2.94
197903,8.73,8.78,5.75
197904,2.49,2.18,0.29
197905,-0.77,-1.37,-1.42
197906,5.77,5.71,4.35
197907,2.49,3.49,1.09
197908,7.61,7.43,5.88
197909,-0.65,-0.11,0.09
197910,-10.85,-9.21,-6.42
197911,7.87,8.26,5.68
197912,7.25,4.79,1.82
198001,9.32,6.54,5.94
198002,-1.03,-2.6,0.17
198003,-18.4,-15.54,-9.99
198004,6.19,6.54,4.73
198005,7.37,8.57,5.42
198006,4.44,4.96,3.24
198007,10.1,9.43,6.2
198008,7.27,4.32,1.52
198009,3.96,3.14,2.88
198010,4.6,1.97,1.74
198011,7.77,8.33,11.49
198012,-4.19,-2.47,-3.14
198101,-0.63,-2.05,-4.91
198102,0.03,1.91,1.88
198103,7.64,8.1,3.42
198104,3.38,1.84,-2.05
198105,3.47,2.98,0.56
198106,-1.74,-2.18,-0.4
198107,-2.55,-1.83,0.38
198108,-8.12,-6.29,-5.33
198109,-9.1,-6.4,-5.5
198110,7.96,7.09,5.75
198111,2.61,3.73,4.77
198112,-1.72,-2.04,-3.04
198201,-2.19,-4.22,-2
198202,-4.52,-4.2,-5.22
198203,-1.01,-0.58,-0.88
198204,5.32,5.23,4.17
198205,-2.08,-3.21,-2.79
198206,-2.86,-2.25,-1.96
198207,-1.89,-1.57,-2.27
198208,6.21,10.91,12.58
198209,3.83,3.44,1.26
198210,14.28,14.29,11.03
198211,9.63,8.19,4.17
198212,1.7,0.56,1.38
198301,8.86,4.52,3.67
198302,5.7,4.84,2.54
198303,5.02,3.97,3.21
198304,8.01,7.14,7.32
198305,8.41,4.36,-0.54
198306,4.19,4.32,3.61
198307,-2.16,-3.36,-3.45
198308,-3.58,-2.12,1.47
198309,0.7,3.19,1.42
198310,-6.01,-4.93,-1.57
198311,3.42,4.9,2.16
198312,-1.49,-1.74,-0.69
198401,-0.48,-3.15,-0.6
198402,-5.49,-5.55,-3.4
198403,0.81,1.48,1.16
198404,-1.27,-0.3,0.81
198405,-4.94,-5.43,-5.04
198406,2.05,3.5,2.85
198407,-4.86,-3.55,-1.13
198408,10.1,12.11,11
198409,-0.41,-0.03,0.17
198410,-1.77,-0.73,0.61
198411,-2.78,-0.84,-0.86
198412,1.37,2.43,2.64
198501,12.82,10.88,7.51
198502,3.17,1.39,1.74
198503,-1.68,-0.92,0.2
198504,-0.79,-0.41,-0.12
198505,3.32,4.78,6.29
198506,1.69,2.5,1.68
198507,2.69,1.42,-0.81
198508,-0.55,-0.53,-0.43
198509,-5.69,-5.04,-3.39
198510,2.89,4.11,4.99
198511,6.35,7.46,7.03
198512,4.18,3.98,4.75
198601,2.91,1.95,0.68
198602,7.08,7.33,7.83
198603,4.7,5.94,5.44
198604,1.43,0.36,-1.31
198605,3.71,4.89,5.42
198606,0.92,0.99,1.82
198607,-8.77,-7.54,-5.22
198608,1.51,5.85,7.26
198609,-6.49,-6.41,-8.74
198610,2.55,4.1,5.65
198611,-0.74,0.21,2.13
198612,-3.38,-2.56,-2.75
198701,11.25,12.37,13.08
198702,7.75,6.71,3.98
198703,2.56,1.52,2.16
198704,-2.1,-2.35,-1.47
198705,-0.25,0.27,0.73
198706,1.78,3.17,5.08
198707,2.49,4.29,4.54
198708,2.33,3.57,4.2
198709,-2,-1.84,-2.22
198710,-29.41,-27.14,-20.77
198711,-5.11,-4.38,-8.25
198712,4.63,8.81,6.98
198801,5.85,3.8,4.68
198802,6.65,7.98,4.39
198803,4.23,1.66,-3.18
198804,1.79,0.91,0.94
198805,-2.35,-0.83,0.78
198806,6.01,6.91,4.75
198807,-0.19,-1.79,-0.53
198808,-2.24,-2.3,-2.88
198809,2.16,3,4.28
198810,-1.2,0.03,2.5
198811,-3.75,-2.19,-1.43
198812,3.22,2.99,1.85
198901,4.97,5.35,7.04
198902,0.7,0.33,-2.3
198903,2.25,1.69,2.35
198904,3.39,5.32,5.15
198905,3.26,4.33,4.16
198906,-1.61,-1.02,-0.42
198907,3.53,5.43,8.8
198908,2.44,3.51,1.88
198909,0.17,-0.44,-0.02
198910,-5.62,-5.18,-2.29
198911,0.04,0.93,2.03
198912,-0.62,0.74,2.24
199001,-7.5,-7.96,-7.01
199002,2.75,2.29,1.44
199003,3.34,3.14,2.25
199004,-2.51,-4.25,-2.39
199005,6.22,8.09,9.44
199006,0.19,-0.25,-0.61
199007,-4.24,-3.1,-0.6
199008,-13.19,-11.37,-8.86
199009,-8.93,-7.54,-4.89
199010,-6.36,-4.2,-0.36
199011,4.42,8.46,6.77
199012,1.38,4.77,2.84
199101,8.06,7.3,4.64
199102,11.86,9.95,7.06
199103,7.5,4.53,2.58
199104,0.85,0.24,0.24
199105,3.83,4.33,4.07
199106,-4.39,-4.09,-4.56
199107,3.47,4.98,4.76
199108,3.2,3.55,2.62
199109,1.3,-0.52,-1.4
199110,3.35,1.95,1.52
199111,-4.25,-4.24,-3.6
199112,5.91,10.42,11.63
199201,11.25,3.69,-1.84
199202,3.51,2.44,0.98
199203,-3.37,-2.68,-2.08
199204,-4.82,-1.45,2.62
199205,0.14,0.89,0.63
199206,-4.64,-3.03,-1.62
199207,3.33,4.11,4.15
199208,-2.97,-2.59,-1.98
199209,2.01,1.98,1.29
199210,2.82,3.2,0.73
199211,8.8,6.27,3.61
199212,3.46,3.39,1.36
199301,4.64,1.94,0.63
199302,-3.21,-1.16,1.02
199303,3.03,3.81,2.23
199304,-2.7,-2.66,-2.84
199305,4.61,4.13,2.75
199306,0.41,0.91,0.41
199307,1.27,0.57,-0.33
199308,4.26,4.38,3.82
199309,2.93,1.78,-0.43
199310,4.33,0.88,1.58
199311,-3.14,-3.22,-1.14
199312,1.65,4.2,1.33
199401,3.99,2.62,3.05
199402,-0.77,-0.59,-2.87
199403,-5.65,-4.84,-4.21
199404,-0.7,0.64,1.19
199405,-0.94,-1.28,1.62
199406,-3.26,-2.66,-2.58
199407,1.17,3.14,3.24
199408,4.39,5.8,4.11
199409,1.14,-1.13,-2.42
199410,0.19,0.43,2.21
199411,-3.69,-4.9,-3.36
199412,-0.06,2.18,1.25
199501,1.19,-0.13,2.83
199502,3.25,5.02,3.91
199503,2.34,2.43,2.71
